iter	Passed	Remaining
0	89	8866
1	169	8321
2	262	8476
3	339	8146
4	422	8032
5	526	8250
6	613	8145
7	695	8002
8	776	7850
9	856	7712
10	938	7590
11	1024	7514
12	1105	7398
13	1181	7257
14	1257	7127
15	1335	7009
16	1408	6876
17	1479	6739
18	1552	6617
19	1620	6483
20	1691	6361
21	1758	6235
22	1881	6299
23	2028	6422
24	2233	6700
25	2416	6878
26	2555	6910
27	2729	7018
28	2875	7040
29	3029	7068
30	3184	7088
31	3357	7134
32	3454	7014
33	3554	6899
34	3656	6791
35	3762	6688
36	3873	6595
37	3971	6479
38	4066	6361
39	4166	6249
40	4266	6139
41	4355	6014
42	4456	5907
43	4552	5793
44	4649	5682
45	4750	5576
46	4870	5492
47	5064	5486
48	5146	5356
49	5218	5218
50	5290	5083
51	5376	4963
52	5507	4883
53	5643	4807
54	5799	4744
55	5918	4650
56	6015	4538
57	6118	4430
58	6224	4325
59	6320	4213
60	6421	4105
61	6524	3998
62	6612	3883
63	6715	3777
64	6816	3670
65	6916	3563
66	7014	3455
67	7116	3349
68	7225	3246
69	7326	3140
70	7432	3035
71	7537	2931
72	7647	2828
73	7750	2723
74	7836	2612
75	7930	2504
76	8020	2395
77	8119	2290
78	8217	2184
79	8306	2076
80	8401	1970
81	8489	1863
82	8595	1760
83	8686	1654
84	8780	1549
85	8877	1445
86	8974	1341
87	9066	1236
88	9149	1130
89	9240	1026
90	9341	923
91	9430	820
92	9520	716
93	9609	613
94	9699	510
95	9795	408
96	9890	305
97	9983	203
98	10072	101
99	10165	0
